year_month_day_seq.ymd.,time_slot,event_name,event_location_name,event_postcode,event_street,event_locality,event_start,event_end
01/01/2014,All Day,Coming Soon— Joyce Petschek: Breaking the Pattern,The American Museum in Britain,BA2 7BD,Claverton Manor,Bath,Mar-18,Oct-27
01/01/2014,All Day,Lace in Fashion,Fashion Museum,BA1 2QH,Assembly Rooms - Bennett Street,Bath,"April 24, 2017","January 1, 2018"
01/01/2014,All Day,Old Theatre Royal Tour 2017,Masonic Hall,NA,Old Orchard street,Bath,Apr-26,Aug-31
01/01/2014,All Day,Anne Desmet RA,The Holburne Museum,BA2 4DB,Great Pulteney Street,Bath,May-09,Jun-04
01/01/2014,All Day,Bath Fringe Festival 2017   Friday 26 May – Sunday 11 June,Burdall’s Yard,BA1 5NH,7A Anglo Terrace,Bath,May-26,Jun-11
01/01/2014,All Day,FANTASTIC MR FOX,Theatre Royal,BA1 1ET,Saw Close,Bath,May-30,Jun-03
01/01/2014,Ongoing,Riches of the Earth; the Beauty of Minerals,Bath Royal Literary and Scientific Institution,BA1 2HN,"16-18 Queen Square,",Bath,May 9 @ 10:00 am,September 30 @ 4:00 pm
01/01/2014,Ongoing,MAKE,The Edge,BA2 7AY,University of Bath,Bath,May 31 @ 9:00 am,June 1 @ 4:00 pm
01/01/2014,Ongoing,Lidl Football Zone Returns to The Royal Bath and West Show,"The Bath and West Showground,",NA,"Shepton Mallet,",BA4 6QN,May 31 @ 9:00 am,June 3 @ 6:00 pm
01/01/2014,9:00 AM,GPS WEEKDAY MINI-MARKETS,Green Park Station, BA1 1JB,"Green Park Road,",Bath,June 1 @ 9:00 am,NA
01/01/2014,10:00 AM,Collage a Photo Frame,The Holburne Museum,BA2 4DB,Great Pulteney Street,Bath,June 1 @ 10:00 am,NA
01/01/2014,10:30 AM,Dress of the Year,NA,NA,NA,NA,June 1 @ 10:30 am,NA
01/01/2014,10:30 AM,A History of Fashion in 100 Objects,Fashion Museum,BA1 2QH,Assembly Rooms - Bennett Street,Bath,June 1 @ 10:30 am,NA
01/01/2014,10:30 AM,"Workshop for Teenagers: Make your own fold away Tote bag workshop (The Makery, Bath)",The Makery,BA1 1RD,"Beau Nash House, 19 Union Passage",Bath,June 1 @ 10:30 am,NA
01/01/2014,7:30 PM,All of the Above Present: Martin Taylor (guitar) and Alison Burns,Widcombe Social Club,BA2 6AA,Bath,Somerset,June 1 @ 7:30 pm,NA
01/01/2014,8:00 PM,Ghost Walks Of Bath,Garricks Head Public House,NA,NA,Bath,June 1 @ 8:00 pm,NA
01/01/2014,8:30 PM,"Charity Quiz Every Thursday Evening, starting at 9pm",St. James Wine Vaults,BA1 2TW,St James Square,Bath,June 1 @ 8:30 pm,NA
02/01/2014,All Day,Coming Soon— Joyce Petschek: Breaking the Pattern,The American Museum in Britain,BA2 7BD,Claverton Manor,Bath,Mar-18,Oct-27
02/01/2014,All Day,Lace in Fashion,Fashion Museum,BA1 2QH,Assembly Rooms - Bennett Street,Bath,"April 24, 2017","January 1, 2018"
02/01/2014,All Day,Old Theatre Royal Tour 2017,Masonic Hall,NA,Old Orchard street,Bath,Apr-26,Aug-31
02/01/2014,All Day,Anne Desmet RA,The Holburne Museum,BA2 4DB,Great Pulteney Street,Bath,May-09,Jun-04
