"","year_month_day_seq.ymd.","time_slot","event_name","event_location_name","event_postcode","event_street","event_locality","event_start","event_end"
"1","2016-10-01","All Day","An American Toy Story","The American Museum in Britain","BA2 7BD","Claverton Manor","Bath","April 25, 2016","October 30, 2016"
"2","2016-10-01","10:00 am","David Walliams","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 10:00 am",NA
"3","2016-10-01","10:00 am","WINNIE-THE-POOH","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 10:00 am",NA
"4","2016-10-01","10:00 am","Bath Hospital Radio Open Day","Bath Hospital Radio","BA1 3NG","Manor Lodge","Royal United Hospital","October 1, 2016 @ 10:00 am",NA
"5","2016-10-01","10:30 am","HOLLY WEBB","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 1, 2016 @ 10:30 am",NA
"6","2016-10-01","10:30 am","MAKE YOUR OWN POP-UP BOOK","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 10:30 am",NA
"7","2016-10-01","11:45 am","HOW TO BECOME AN ULTIMATE EXPLORER!","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 11:45 am",NA
"8","2016-10-01","11:45 am","HEY DUGGEE!","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 1, 2016 @ 11:45 am",NA
"9","2016-10-01","12:45 pm","CAPTAIN PUG","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 1, 2016 @ 12:45 pm",NA
"10","2016-10-01","1:00 pm","MAKE YOUR OWN POP-UP BOOK","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 1:00 pm",NA
"11","2016-10-01","1:30 pm","ELMER THE PATCHWORK ELEPHANT!","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 1:30 pm",NA
"12","2016-10-01","1:30 pm","A children’s guide to birdwatching","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 1, 2016 @ 1:30 pm",NA
"13","2016-10-01","1:30 pm","Squishy McFluff","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 1:30 pm",NA
"14","2016-10-01","2:30 pm","There’s a Tiger in the Garden","Bath Central Library","BA1 5AL","19 The Podium, Northgate St","Bath","October 1, 2016 @ 2:30 pm",NA
"15","2016-10-01","3:00 pm","LIZ PICHON","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 3:00 pm",NA
"16","2016-10-01","3:15 pm","Meet Maisy and Lucy Cousins","Widcombe Social Club","BA2 6AA","Bath","Somerset","October 1, 2016 @ 3:15 pm",NA
"17","2016-10-01","3:15 pm","ROALD DAHL’S MOST VILLAINOUS VILLAINS","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 3:15 pm",NA
"18","2016-10-01","3:15 pm","Ross Collins","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 3:15 pm",NA
"19","2016-10-01","3:30 pm","Writing Doctor Who","The Forum","BA1 1UG","1A Forum Buildings,","Bath","October 1, 2016 @ 3:30 pm",NA
"20","2016-10-01","5:00 pm","George & The Blue Moon with Lucy Hawking","The Guildhall","BA1 5AW","High Street","Bath","October 1, 2016 @ 5:00 pm",NA
